"filename", "language", "Properties", "JSON", "Markdown", "JSON with Comments", "TypeScript", "HTML", "SCSS", "TypeScript JSX", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\clean_code.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\coding.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\database.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\dev_ops.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\framework.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\orga.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 23
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\others.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\project.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\protocol.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\spanner.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\testing.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\assets\tasks\usability.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\accordion\Accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 5, 40
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\accordion\IAccordionProps.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\accordion\accordionItem\AccordionItem.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 11, 65
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\accordion\accordionItem\AccordionItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 4, 54
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\accordion\accordionItem\IAccordionItemProps.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\button\Button.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\button\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\button\IButtonProps.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\Carousel.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\Carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\ICarouselProps.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\carouselContent\CarouselContent.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 12, 73
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\carouselContent\CarouselContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 5, 102
"c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\components\carousel\carouselContent\ICarouselContentProps.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
